ks;h1;h2;F1;Lr;RollerType
0;3.53;21.17;4.65;70.0;D
0.82;3.47;16.86;3.55;53.0;ND
0.82;3.56;16.59;3.56;55.0;ND
0.46;3.13;18.94;5.19;61.0;D
0.46;2.99;18.18;5.21;50.0;D
0.46;3.09;18.94;5.23;62.0;D
0.46;2.67;17.45;5.28;62.0;D
0.46;2.95;18.29;5.29;55.0;D
0.46;2.65;16.77;5.29;64.0;D
0.46;2.82;17.98;5.29;58.0;D
1.46;4.76;18.17;3.17;66.0;ND
1.46;4.69;18.58;3.24;65.0;ND
0.82;4.45;18.80;3.29;67.0;ND
0.82;4.69;20.23;3.32;76.0;ND
0.82;4.41;18.93;3.34;66.0;ND
0.82;4.35;19.51;3.36;66.0;ND
0.82;4.38;19.60;3.37;64.0;ND
0.82;4.38;18.97;3.40;76.0;ND
0.82;4.23;19.58;3.54;65.0;ND
2.39;4.97;12.10;2.61;;ND
2.39;4.55;12.14;2.98;;ND
0.82;3.26;16.74;4.00;54.0;ND
0.82;3.22;16.82;4.07;55.0;ND
0.82;3.83;20.22;4.10;75.0;D
0.82;2.69;13.87;4.27;41.0;D
0.82;3.65;19.51;4.39;66.0;D
0.82;3.79;21.14;4.45;60.0;D
0.82;3.07;17.60;4.49;57.0;ND
0.82;3.58;19.09;4.51;63.0;D
0.82;2.95;16.43;4.51;53.0;D
0.82;3.74;21.09;4.56;73.0;D
0.82;3.00;17.23;4.64;58.0;D
0.82;3.38;19.47;4.69;65.0;D
0.82;2.58;15.57;4.71;42.0;D
0.82;2.85;16.20;4.75;53.0;D
0.82;2.48;14.06;4.76;47.0;D
0.82;2.83;16.98;5.03;60.0;D
0.82;2.81;17.22;5.06;58.0;D
0.82;3.13;19.28;5.19;60.0;D
0.82;2.65;16.16;5.25;47.0;D
0.82;1.93;12.51;5.31;43.0;D
0.82;2.11;14.45;5.34;56.0;D
0.82;1.50;10.50;5.37;30.0;D
0.82;2.33;15.63;5.46;51.0;D
0.82;2.27;15.22;5.53;48.0;D
0.82;2.19;14.79;5.56;50.0;D
0.82;1.88;13.30;5.79;52.0;D
0.82;1.74;12.45;5.86;45.0;D
0.82;1.35;9.21;5.89;29.0;D
0.82;2.16;14.89;5.93;58.0;D
0.82;1.58;11.05;5.97;40.0;D
0.82;1.34;9.18;6.02;24.0;D
0.82;1.69;11.82;6.05;42.0;D
0.82;1.56;11.01;6.13;37.0;D
0.82;1.68;12.65;6.51;53.0;D
0.82;1.27;9.08;6.51;25.0;D
0.82;1.25;8.98;6.64;18.0;D
0.82;1.57;12.25;6.91;45.0;D
0.82;1.59;13.25;7.02;45.0;D
0.82;1.50;11.88;7.21;43.0;D
1.46;4.71;18.42;3.26;70.0;ND
1.46;4.62;18.56;3.30;66.0;ND
1.46;4.51;18.71;3.44;66.0;ND
1.46;4.43;18.95;3.49;68.0;ND
1.46;4.43;18.76;3.51;68.0;ND
1.46;3.98;17.91;3.63;64.0;ND
1.46;4.16;18.79;3.87;67.0;ND
1.46;3.98;18.62;3.97;72.0;ND
1.46;3.70;17.56;4.03;62.0;ND
1.46;3.90;18.63;4.06;68.0;ND
1.46;3.45;16.96;4.10;63.0;ND
1.46;3.69;18.50;4.11;65.0;ND
1.46;3.97;19.42;4.12;63.0;ND
1.46;3.63;18.26;4.16;68.0;ND
1.46;3.63;17.45;4.16;61.0;ND
1.46;3.82;18.87;4.17;60.0;ND
1.46;3.39;16.32;4.18;58.0;ND
1.46;3.73;18.71;4.38;66.0;ND
1.46;3.68;19.15;4.43;62.0;ND
1.46;3.76;20.42;4.45;67.0;ND
1.46;3.47;18.56;4.45;62.0;ND
1.46;3.31;18.10;4.75;61.0;ND
1.46;2.66;14.95;4.77;49.0;D
1.46;3.07;16.25;4.85;57.0;ND
1.46;3.47;20.25;5.00;60.0;D
1.46;3.00;17.02;5.05;61.0;ND
1.46;3.38;20.06;5.19;;D
1.46;2.89;16.95;5.29;;D
1.46;2.68;18.08;5.67;58.0;D
1.46;2.93;19.23;5.74;64.0;D
1.46;2.63;16.84;5.79;56.0;D
1.46;2.71;17.56;5.87;62.0;D
1.46;2.60;16.68;5.87;53.0;D
1.46;3.06;20.73;5.99;63.0;D
1.46;2.83;19.04;6.05;;D
1.46;2.63;17.58;6.09;60.0;D
1.46;2.54;16.59;6.15;59.0;D
1.46;2.29;15.38;6.23;48.0;D
1.46;2.54;17.53;6.35;60.0;D
2.39;4.38;12.24;3.14;;ND
2.39;4.28;13.42;3.24;;ND
2.39;4.56;14.54;3.29;;ND
2.39;4.49;15.14;3.42;;ND
2.39;4.10;13.31;3.46;;ND
2.39;4.47;15.51;3.47;;ND
2.39;3.87;15.33;3.75;;ND
2.39;4.16;16.00;3.78;;ND
2.39;4.11;15.87;3.90;;ND
2.39;4.07;16.43;3.97;70.0;ND
2.39;3.72;13.49;4.00;;ND
2.39;3.72;16.46;4.15;63.0;ND
2.39;3.33;16.21;4.58;60.0;ND
2.39;2.75;12.20;4.59;49.0;ND
2.39;3.55;18.05;4.77;67.0;ND
2.39;2.95;14.04;4.87;56.0;ND
2.39;3.28;17.20;4.98;63.0;ND
2.39;3.48;17.77;4.99;72.0;ND
2.39;2.66;13.30;5.00;47.0;ND
2.39;3.40;17.66;5.15;70.0;ND
2.39;2.39;12.19;5.19;41.0;ND
2.39;2.80;14.60;5.23;55.0;ND
2.39;3.18;16.94;5.25;65.0;ND
2.39;2.45;12.98;5.42;48.0;ND
2.39;3.12;17.77;5.43;66.0;ND
2.39;3.24;17.98;5.45;69.0;ND
2.39;2.97;16.55;5.48;51.0;ND
2.39;2.52;14.32;5.50;50.0;ND
2.39;2.91;16.82;5.52;62.0;ND
2.39;2.71;15.33;5.54;56.0;ND
2.39;2.50;14.06;5.57;49.0;ND
2.39;2.30;13.13;5.63;45.0;ND
2.39;2.30;12.37;5.63;44.0;ND
2.39;2.26;12.66;5.68;44.0;ND
2.39;2.65;15.51;5.68;57.0;ND
2.39;2.43;13.98;5.72;47.0;ND
2.39;2.35;12.11;5.77;44.0;ND
2.39;2.34;13.38;5.81;48.0;ND
2.39;2.42;13.33;5.82;49.0;ND
0.82;1.50;12.11;7.32;43.0;D
0.82;1.45;11.42;7.56;40.0;D
0.82;1.42;12.10;7.96;42.0;D
0.82;1.36;11.75;8.35;38.0;D
1.46;5.68;13.17;2.21;;ND
1.46;5.49;13.69;2.30;;ND
1.46;5.44;13.14;2.34;;ND
1.46;5.22;13.78;2.51;;ND
1.46;5.19;15.42;2.52;65.0;ND
1.46;5.00;14.73;2.60;;ND
1.46;5.27;17.57;2.76;67.0;ND
1.46;5.22;17.00;2.77;66.0;ND
1.46;4.75;14.56;2.80;;ND
1.46;5.06;18.07;2.93;70.0;ND
2.39;2.08;12.94;6.93;45.0;ND
2.39;2.04;13.04;6.98;48.0;ND
2.39;1.98;13.34;7.09;;ND
2.39;2.48;16.72;7.12;61.0;ND
1.46;2.52;17.14;6.47;54.0;D
1.46;2.32;16.71;6.49;54.0;D
1.46;2.69;19.46;6.54;67.0;D
1.46;2.63;18.27;6.64;57.0;D
1.46;2.16;14.98;6.80;47.0;D
1.46;2.43;17.88;6.86;57.0;D
1.46;2.56;19.35;6.97;63.0;D
1.46;2.13;16.95;7.35;60.0;D
1.46;2.11;16.42;7.48;52.0;D
1.46;2.05;16.02;7.74;50.0;D
1.46;1.98;15.76;7.90;54.0;D
1.46;1.84;15.61;8.56;55.0;D
1.46;1.77;15.22;8.74;58.0;D
2.39;5.39;12.11;2.31;;ND
3.2;3.93;16.09;3.85;53.0;ND
3.2;3.98;16.05;3.89;58.0;ND
3.2;4.06;16.10;3.93;63.0;ND
3.2;3.98;16.80;3.98;58.0;ND
2.39;2.58;14.00;5.82;57.0;ND
2.39;2.93;17.51;5.96;67.0;ND
2.39;2.87;17.78;6.12;63.0;ND
2.39;2.30;13.12;6.22;44.0;ND
2.39;2.13;12.53;6.32;42.0;ND
2.39;2.45;14.91;6.39;57.0;ND
2.39;2.92;18.26;6.42;68.0;ND
2.39;2.65;16.33;6.48;53.0;ND
2.39;2.15;12.85;6.53;44.0;ND
2.39;2.59;16.38;6.53;58.0;ND
2.39;2.35;15.36;6.75;53.0;ND
2.39;2.02;12.15;6.76;43.0;ND
2.39;2.30;15.49;6.89;53.0;ND
2.39;2.14;14.03;6.89;48.0;ND
3.2;2.13;13.50;6.69;47.0;ND
3.2;2.27;14.91;6.74;50.0;ND
3.2;2.34;16.02;6.95;55.0;ND
3.2;2.75;18.58;6.99;61.0;ND
2.39;1.98;13.46;7.39;49.0;ND
2.39;2.17;15.42;7.52;52.0;ND
2.39;1.88;13.85;7.58;;ND
2.39;2.34;16.42;7.77;62.0;ND
2.39;2.11;15.03;7.84;50.0;ND
2.39;1.80;13.75;8.43;48.0;ND
2.39;1.75;14.05;8.74;;ND
3.2;6.27;12.76;2.10;;ND
3.2;6.24;13.33;2.11;;ND
3.2;5.78;13.66;2.36;;ND
3.2;5.73;13.83;2.39;;ND
3.2;5.44;13.26;2.48;;ND
3.2;5.41;13.46;2.49;;ND
3.2;5.38;13.43;2.52;;ND
3.2;5.51;13.91;2.52;;ND
3.2;5.34;14.42;2.64;;ND
3.2;5.06;14.19;2.75;;ND
3.2;4.89;14.54;2.89;52.0;ND
3.2;4.88;14.85;2.89;53.0;ND
3.2;4.48;15.50;3.27;52.0;ND
3.2;4.41;15.63;3.36;55.0;ND
3.2;4.26;15.68;3.51;53.0;ND
3.2;3.89;16.21;4.02;57.0;ND
3.2;3.91;16.92;4.07;58.0;ND
3.2;3.89;16.30;4.17;63.0;ND
3.2;3.73;16.43;4.42;60.0;ND
3.2;3.60;17.11;4.67;61.0;ND
3.2;3.29;16.19;4.78;58.0;ND
3.2;3.23;16.35;5.22;58.0;ND
3.2;3.32;17.03;5.33;61.0;ND
3.2;3.16;17.04;5.39;63.0;ND
3.2;3.28;17.60;5.41;62.0;ND
3.2;2.98;15.97;5.53;60.0;ND
3.2;2.86;16.69;5.57;57.0;ND
3.2;2.76;15.97;5.80;58.0;ND
3.2;3.03;18.09;5.86;58.0;ND
3.2;3.05;17.52;6.01;63.0;ND
3.2;2.81;16.36;6.03;58.0;ND
3.2;2.72;17.30;6.29;59.0;ND
3.2;2.70;16.85;6.36;60.0;ND
3.2;2.92;18.19;6.39;62.0;ND
3.2;2.83;18.60;6.47;59.0;ND
3.2;2.53;15.19;6.61;58.0;ND
3.2;2.73;17.50;6.65;63.0;ND
3.2;2.40;15.77;7.11;55.0;ND
3.2;2.25;15.27;7.35;54.0;ND
3.2;2.52;17.29;7.51;59.0;ND
3.2;1.93;14.51;7.53;53.0;ND
3.2;1.87;13.75;7.73;52.0;ND
3.2;2.19;16.09;7.74;55.0;ND
3.2;2.54;18.46;7.78;;ND
3.2;2.54;17.88;7.80;60.0;ND
3.2;1.91;13.19;7.84;46.0;ND
3.2;2.31;16.47;7.99;59.0;ND
3.2;2.07;15.94;8.12;57.0;ND
3.2;1.94;14.59;8.49;50.0;ND
3.2;1.73;13.55;8.61;52.0;ND
3.2;2.00;16.22;8.66;58.0;ND
3.2;1.71;13.05;8.71;54.0;ND
3.2;1.96;15.12;9.04;55.0;ND
3.2;2.02;16.28;9.18;57.0;ND
3.2;1.80;15.65;9.37;54.0;ND
3.2;1.80;13.90;9.41;50.0;ND
3.2;1.58;12.71;9.71;44.0;ND
3.2;1.63;13.17;9.83;48.0;ND
3.2;1.63;12.83;9.89;48.0;ND

