i_rep;i_fol;alg;i_run;acc_train;acc_test;a0;a1;a2
1;1;RealSpacePSO;8;8.455633434346819;7.282926639355837;0.04689057600547784;3.1655236226528753;0.25323120329181265
1;1;RealSpacePSO;9;8.455633386550684;7.282922180716965;0.04689037385887569;3.1655215097040807;0.2532359381647049
1;1;RealSpacePSO;10;8.4556369964151;7.283281603516569;0.04690153233637285;3.165725903119484;0.25283843137909917
1;1;CMA;1;8.55984863315722;7.353858385943038;0.08254558440094718;3.0310010850001117;0.2838408816679212
1;1;CMA;2;8.455633422646347;7.282922840248664;0.0468905116546073;3.165520946815845;0.2532356609174764
1;1;CMA;3;8.455633344272696;7.282918912128371;0.046890299628869946;3.165519533759154;0.253239600894635
1;1;CMA;4;8.455633483565242;7.282918692839892;0.046890795319807776;3.165517102635316;0.2532408075367491
1;1;CMA;5;8.455633349587963;7.282918847548057;0.046890293371792575;3.1655195491219024;0.25323964564453694
1;1;CMA;6;8.45563335932976;7.282918602622092;0.046890300447266955;3.1655193096149588;0.2532399633594146
1;1;CMA;7;8.455633414827549;7.282921742836078;0.04689055399582217;3.1655199262334626;0.25323704724927204
1;1;CMA;8;8.455765911015192;7.288368289540087;0.0473679836037364;3.1657422786125897;0.24937788766452568
1;1;CMA;9;8.455633355548867;7.282919792714273;0.04689033815088292;3.1655199955467226;0.25323864143685815
1;1;CMA;10;8.455633352094864;7.282918771845193;0.04689029853424952;3.1655194690898454;0.2532397452038223
1;1;CauchyOnePlusOne;1;8.465723639650871;7.21834590137604;0.044698358560880884;3.1125597937046354;0.35059766338032744
1;1;CauchyOnePlusOne;2;8.456259160325052;7.275640734934928;0.04800252559999042;3.1553233781586103;0.2638759464377811
1;1;CauchyOnePlusOne;3;8.45645678674383;7.271316278823484;0.047501585454040735;3.1532271271711925;0.26936244357820116
1;1;CauchyOnePlusOne;4;8.456269454206469;7.272358872578377;0.047352683453253136;3.1556917728088636;0.2668528098035818
1;1;CauchyOnePlusOne;5;8.465221882545764;7.220482760235441;0.04505132522642241;3.113715199309209;0.3477661270752833
1;1;CauchyOnePlusOne;6;8.462554776341037;7.429543773124259;0.04907783521153668;3.231343418889764;0.13150232044396828
1;1;CauchyOnePlusOne;7;8.458260800938566;7.359304615538365;0.047774333879195816;3.207464945904908;0.18316294409719477
1;1;CauchyOnePlusOne;8;8.461385645675424;7.413246305658311;0.04828949025951028;3.225694158467545;0.1446279302681095
1;1;CauchyOnePlusOne;9;8.4646870742289;7.445927647024106;0.04851189081861402;3.2460847466165488;0.11424977945620775
1;1;CauchyOnePlusOne;10;8.456513086881033;7.271568904728682;0.04766357754848573;3.1523966449669687;0.2696108544161605
1;1;DiagonalCMA;1;8.456547164458271;7.3280260474149;0.047220721654947326;3.191953532900005;0.2109757568110354
1;1;DiagonalCMA;2;8.45644701933002;7.268737329382027;0.04639591171091727;3.1580413643492737;0.26915535564304904
1;1;DiagonalCMA;3;8.455685343890966;7.287961767201527;0.0470691623792953;3.1676192388265054;0.24875852510726712
1;1;DiagonalCMA;4;9.104397286802337;7.742837487153863;0.07946950365017078;2.5485255724351283;0.9419577962826396
1;1;DiagonalCMA;5;8.455685560602056;7.282213791968502;0.047070606500843486;3.1644458613616417;0.2542622115235768
1;1;DiagonalCMA;6;8.464869878465219;7.22222831110529;0.04442767529130017;3.118482743065886;0.344755671396737
1;1;DiagonalCMA;7;8.455779738551328;7.280964866948011;0.04740108922214219;3.1625038454332794;0.2560887155141899
